# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jan 20 08:11:24 2023
#
# User preference: *
#
# CONSTRAINT:  where (sy_pnum > 1)
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_instrument: Discovery Instrument
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_occdep:      Occultation Depth [%]
# COLUMN pl_orbtper:     Epoch of Periastron [days]
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_projobliq:   Projected Obliquity [deg]
# COLUMN pl_trueobliq:   True Obliquity [deg]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_instrument,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,sy_dist,sy_gaiamag
Kepler-360 b,Kepler-360,1,2,Transit,2014,Kepler CCD Array,3.28967200,0.044000,1.650,0.147,3.36000,0.01060,M-R relationship,4.110000,0.000000,415.43,1116,89.730,2454964.756030,0,0.0700,0.024600,2.3120000,10.948000,0.01440,,,,,,,,6053.00,1.06,0.95,0.160,[Fe/H],-0.132,4.42,3.400,2.29385,,,,19h05m08.33s,286.2847077,+44d46m53.69s,44.7815817,876.0440000,14.8128000
Kepler-360 c,Kepler-360,1,2,Transit,2014,Kepler CCD Array,7.18643400,0.075000,2.100,0.187,5.06000,0.01590,M-R relationship,3.000000,0.000000,146.50,860,87.200,2454969.622730,0,0.1900,0.041700,1.4060000,12.900000,0.01877,,,,,,,,6053.00,1.06,0.95,0.160,[Fe/H],-0.132,4.42,3.400,21.41412,,,,19h05m08.33s,286.2847077,+44d46m53.69s,44.7815817,876.0440000,14.8128000
Kepler-393 b,Kepler-393,1,2,Transit,2014,Kepler CCD Array,9.18241700,0.091000,1.290,0.115,2.21000,0.00696,M-R relationship,5.660000,0.000000,429.81,1052,89.070,2454967.048130,0,0.6300,0.008470,4.3430000,7.670000,0.00864,,,,,,,,6189.00,1.38,1.21,0.032,[M/H],0.524,4.23,2.150,0.56072,,,,19h23m58.85s,290.9952050,+45d11m31.88s,45.1921880,881.4040000,13.1783000
Kepler-393 c,Kepler-393,1,2,Transit,2014,Kepler CCD Array,14.61361200,0.124000,1.330,0.119,2.33000,0.00733,M-R relationship,5.440000,0.000000,231.21,901,89.770,2454973.412400,0,0.7600,0.007460,5.4010000,10.450000,0.00800,,,,,,,,6189.00,1.38,1.21,0.032,[M/H],0.524,4.23,2.150,0.56072,,,,19h23m58.85s,290.9952050,+45d11m31.88s,45.1921880,881.4040000,13.1783000
Kepler-386 b,Kepler-386,1,2,Transit,2014,Kepler CCD Array,12.31043000,0.096000,1.390,0.124,2.51000,0.00790,M-R relationship,5.140000,0.000000,43.26,651,87.210,2454974.863050,0,0.8000,0.026370,3.9390000,25.690000,0.01553,,,,,,,,5178.00,0.77,0.82,0.160,[Fe/H],-0.402,4.56,4.680,2.11687,,,,19h19m26.14s,289.8589165,+48d41m37.71s,48.6938077,882.4620000,15.6172000
Kepler-386 c,Kepler-386,1,2,Transit,2014,Kepler CCD Array,25.19345800,0.155000,1.580,0.141,3.12000,0.00982,M-R relationship,4.350000,0.000000,16.66,513,88.780,2454979.432090,0,0.0000,0.048120,4.6340000,41.540000,0.02186,,,,,,,,5178.00,0.77,0.82,0.160,[Fe/H],-0.402,4.56,9.900,2.13674,,,,19h19m26.14s,289.8589165,+48d41m37.71s,48.6938077,882.4620000,15.6172000
Kepler-887 b,Kepler-887,1,2,Transit,2016,Kepler CCD Array,20.42228798,0.153600,1.840,0.164,4.04000,0.01270,M-R relationship,3.560000,0.000000,109.84,785,89.870,2454979.983280,0,0.6460,0.018930,6.1920000,25.490000,0.01263,,,,,,,,6194.00,1.29,1.19,0.080,[Fe/H],0.446,4.29,3.090,0.73981,,,-5.41,19h20m21.79s,290.0907893,+39d49m00.87s,39.8169085,886.5880000,13.4496000
Kepler-887 c,Kepler-887,1,2,Transit,2016,Kepler CCD Array,7.63846023,0.079700,1.130,0.101,1.51000,0.00474,M-R relationship,5.750000,0.000000,407.98,1089,88.300,2454971.244670,0,0.7280,0.007170,3.9710000,14.540000,0.00819,,,,,,,,6194.00,1.29,1.19,0.080,[Fe/H],0.446,4.29,3.090,0.99716,,,-5.41,19h20m21.79s,290.0907893,+39d49m00.87s,39.8169085,886.5880000,13.4496000
KOI-3503 b,KOI-3503,1,2,Transit,2021,Kepler CCD Array,21.18500000,0.146200,1.190,0.106,9.20000,0.02895,Mass,10.000000,0.000000,49.23,785,88.420,2454981.809600,1,0.0332,0.007170,2.7760000,58.769000,0.00833,,,,,,,,6001.00,1.25,0.86,-0.543,[M/H],0.300,4.55,,0.94594,,,,19h32m36.18s,293.1507654,+41d43m44.95s,41.7291532,887.0640000,13.7744000
KOI-3503 c,KOI-3503,1,2,Transit,2021,Kepler CCD Array,31.82800000,0.191100,1.210,0.108,10.36000,0.03260,Mass,10.000000,0.000000,28.37,686,89.380,2454977.528900,1,0.6810,0.007900,4.1700000,43.400000,0.00865,,,,,,,,6001.00,1.25,0.86,-0.543,[M/H],0.300,4.54,,1.52846,,,,19h32m36.18s,293.1507654,+41d43m44.95s,41.7291532,887.0640000,13.7744000
Kepler-272 b,Kepler-272,1,3,Transit,2014,Kepler CCD Array,2.97135300,0.038000,1.430,0.128,78.00000,0.24500,Mass,147.000000,0.000000,801.74,1200,87.490,2454967.386750,0,0.0400,0.023330,2.6480000,8.410000,0.01390,,,,,,,,5297.00,0.93,0.86,0.090,[M/H],0.066,4.43,4.900,1.08986,,,,19h56m30.61s,299.1275257,+47d35m37.79s,47.5938319,889.6080000,14.6591000
Kepler-272 c,Kepler-272,1,3,Transit,2014,Kepler CCD Array,6.05734200,0.061000,1.790,0.160,97.80000,0.30800,Mass,93.700000,0.000000,310.76,947,88.980,2454968.925490,0,0.0300,0.038520,3.6950000,12.626000,0.01767,,,,,,,,5297.00,0.93,0.86,0.090,[M/H],0.066,4.43,4.900,1.03785,,,,19h56m30.61s,299.1275257,+47d35m37.79s,47.5938319,889.6080000,14.6591000
Kepler-272 d,Kepler-272,1,3,Transit,2014,Kepler CCD Array,10.93730400,0.091000,2.250,0.201,5.69000,0.01790,M-R relationship,2.740000,0.000000,141.13,777,86.630,2454969.985030,0,0.8900,0.042160,3.0840000,15.300000,0.01896,,,,,,,,5297.00,0.93,0.86,0.090,[M/H],0.066,4.43,4.900,3.75841,,,,19h56m30.61s,299.1275257,+47d35m37.79s,47.5938319,889.6080000,14.6591000
Kepler-164 b,Kepler-164,1,3,Transit,2014,Kepler CCD Array,5.03503000,0.058000,1.410,0.126,2.57000,0.00809,M-R relationship,5.040000,0.000000,370.92,1141,84.490,2454965.654650,0,0.0800,0.016010,1.6490000,22.040000,0.01167,,,,,,,,5888.00,1.15,1.09,0.000,[Fe/H],0.113,4.33,0.620,7.98815,,,,19h11m07.39s,287.7808115,+47d37m47.44s,47.6298453,890.7580000,14.2329000
Kepler-164 c,Kepler-164,1,3,Transit,2014,Kepler CCD Array,10.94572300,0.097000,2.730,0.244,7.90000,0.02490,M-R relationship,2.130000,0.000000,131.49,881,87.170,2455009.720460,0,0.5100,0.053280,3.0040000,27.700000,0.02167,,,,,,,,5888.00,1.15,1.09,0.000,[Fe/H],0.113,4.33,0.620,3.35490,,,,19h11m07.39s,287.7808115,+47d37m47.44s,47.6298453,890.7580000,14.2329000
Kepler-164 d,Kepler-164,1,3,Transit,2014,Kepler CCD Array,28.98676900,0.187000,2.450,0.219,6.57000,0.02070,M-R relationship,2.450000,0.000000,35.89,637,88.640,2454967.782680,0,0.2800,0.047160,3.4440000,65.760000,0.01974,,,,,,,,5888.00,1.15,1.09,0.000,[Fe/H],0.113,4.33,0.620,6.40225,,,,19h11m07.39s,287.7808115,+47d37m47.44s,47.6298453,890.7580000,14.2329000
Kepler-150 b,Kepler-150,1,5,Transit,2014,Kepler CCD Array,3.42805400,0.044000,1.250,0.112,2.10000,0.00660,M-R relationship,5.910000,0.000000,367.26,1131,89.570,2454965.367940,0,0.0800,0.020640,2.3090000,10.940000,0.01317,,,,,,,,5560.00,0.94,0.94,-0.020,[Fe/H],-0.161,4.47,4.570,2.11056,,,,19h12m56.18s,288.2341025,+40d31m15.23s,40.5208970,891.0920000,14.9743000
Kepler-150 c,Kepler-150,1,5,Transit,2014,Kepler CCD Array,7.38199800,0.073000,3.690,0.329,13.20000,0.04150,M-R relationship,1.440000,0.000000,132.09,876,89.710,2455006.071230,0,0.5300,0.151180,3.1240000,18.652000,0.03422,,,,,,,,5560.00,0.94,0.94,-0.020,[Fe/H],-0.161,4.47,4.570,2.25264,,,,19h12m56.18s,288.2341025,+40d31m15.23s,40.5208970,891.0920000,14.9743000
Kepler-150 d,Kepler-150,1,5,Transit,2014,Kepler CCD Array,12.56093000,0.104000,2.790,0.249,8.20000,0.02580,M-R relationship,2.070000,0.000000,65.14,734,89.950,2454999.795880,0,0.1200,0.096690,3.7640000,26.188000,0.02834,,,,,,,,5560.00,0.94,0.94,-0.020,[Fe/H],-0.161,4.47,4.570,2.24715,,,,19h12m56.18s,288.2341025,+40d31m15.23s,40.5208970,891.0920000,14.9743000
Kepler-150 e,Kepler-150,1,5,Transit,2014,Kepler CCD Array,30.82655700,0.189000,3.120,0.278,9.91000,0.03120,M-R relationship,1.790000,0.000000,19.67,544,86.760,2454986.010430,0,0.9300,0.077590,5.4550000,16.690000,0.02578,,,,,,,,5560.00,0.94,0.94,-0.020,[Fe/H],-0.161,4.47,4.570,0.09259,,,,19h12m56.18s,288.2341025,+40d31m15.23s,40.5208970,891.0920000,14.9743000
Kepler-150 f,Kepler-150,1,5,Transit,2017,Kepler CCD Array,637.20930000,1.240000,3.640,0.325,12.90000,0.04050,M-R relationship,1.470000,,,,90.000,2455979.242200,0,0.0000,,13.4100000,291.100000,0.03580,,,,,,,,5528.00,0.91,0.97,-0.020,[Fe/H],-0.161,4.51,4.570,1.84291,,,,19h12m56.18s,288.2341025,+40d31m15.23s,40.5208970,891.0920000,14.9743000
Kepler-364 b,Kepler-364,1,2,Transit,2014,Kepler CCD Array,25.74571800,0.178000,1.550,0.138,3.02000,0.00951,M-R relationship,4.460000,0.000000,68.71,753,88.220,2454968.950580,0,0.6800,0.014030,6.9830000,26.970000,0.01132,,,,,,,,6108.00,1.28,1.19,-0.031,[M/H],0.351,4.27,0.630,0.55965,,,,18h46m16.80s,281.5699998,+47d23m55.04s,47.3986233,891.4620000,13.6134000
Kepler-364 c,Kepler-364,1,2,Transit,2014,Kepler CCD Array,59.98062700,0.312000,2.150,0.192,5.27000,0.01660,M-R relationship,2.910000,0.000000,22.23,568,88.030,2455009.150250,1,0.2700,0.028240,6.5820000,66.160000,0.01552,,,,,,,,6108.00,1.28,1.19,-0.031,[M/H],0.351,4.27,0.630,1.52257,,,,18h46m16.80s,281.5699998,+47d23m55.04s,47.3986233,891.4620000,13.6134000
Kepler-384 b,Kepler-384,1,2,Transit,2014,Kepler CCD Array,22.59705300,0.148000,1.120,0.100,1.46000,0.00459,M-R relationship,5.710000,0.000000,101.55,670,89.870,2454973.419900,0,0.0200,0.014290,6.0310000,28.190000,0.01081,,,,,,,,5577.00,0.88,0.97,-0.459,[M/H],0.396,4.47,1.500,0.80039,,,,19h04m06.27s,286.0261113,+44d46m58.29s,44.7828571,895.6780000,13.5538000
Kepler-384 c,Kepler-384,1,2,Transit,2014,Kepler CCD Array,45.34826900,0.236000,1.130,0.101,1.51000,0.00474,M-R relationship,5.750000,0.000000,40.10,531,88.780,2454975.250800,0,0.1000,0.016290,4.6570000,73.800000,0.01212,,,,,,,,5577.00,0.88,0.97,-0.459,[M/H],0.396,4.47,1.500,3.69419,,,,19h04m06.27s,286.0261113,+44d46m58.29s,44.7828571,895.6780000,13.5538000
Kepler-619 b,Kepler-619,1,2,Transit,2016,Kepler CCD Array,5.40427220,0.061100,3.160,0.282,10.10000,0.03190,M-R relationship,1.760000,0.000000,224.15,1073,89.200,2455005.185543,0,0.7600,0.077030,2.4748000,16.907000,0.02553,,,,,,,,5980.00,1.11,1.09,0.050,[Fe/H],-0.040,4.38,3.470,3.13041,,,,19h23m23.78s,290.8490899,+48d24m57.52s,48.4159782,900.6780000,14.6704000
Kepler-619 c,Kepler-619,1,2,Transit,2016,Kepler CCD Array,1.20846503,0.022500,1.690,0.151,3.50000,0.01100,M-R relationship,3.980000,0.000000,1652.91,1767,76.660,2454966.675380,0,0.7800,0.024020,1.5105000,6.227000,0.01425,,,,,,,,5980.00,1.11,1.09,0.050,[Fe/H],-0.040,4.38,3.470,3.12700,,,,19h23m23.78s,290.8490899,+48d24m57.52s,48.4159782,900.6780000,14.6704000
Kepler-82 b,Kepler-82,1,5,Transit,2012,Kepler CCD Array,26.44000000,0.168300,4.070,0.363,12.15000,0.03823,Mass,0.980000,0.003300,19.56,562,89.052,2455027.120740,1,0.6410,0.184350,3.9783000,41.470000,0.04159,,,236.0000,,,,,5529.00,0.90,0.91,0.211,[M/H],-0.185,4.49,4.680,1.77000,,,,19h31m29.61s,292.8733696,+42d57m58.17s,42.9661583,904.3260000,15.1377000
Kepler-82 c,Kepler-82,1,5,Transit,2012,Kepler CCD Array,51.54000000,0.262600,5.340,0.476,13.90000,0.04373,Mass,0.494000,0.007000,8.04,450,90.150,2455007.055011,1,0.0291,0.364430,6.3994000,64.700000,0.05453,,,162.0000,,,,,5529.00,0.90,0.91,0.211,[M/H],-0.185,4.49,4.680,1.77000,,,,19h31m29.61s,292.8733696,+42d57m58.17s,42.9661583,904.3260000,15.1377000
Kepler-82 d,Kepler-82,1,5,Transit,2014,Kepler CCD Array,2.38296100,0.034000,1.770,0.158,3.78000,0.01190,M-R relationship,3.750000,0.000000,484.35,1253,86.850,2454968.081860,1,0.0500,0.036900,2.0260000,8.340000,0.01748,,,,,,,,5428.00,0.95,0.96,0.211,[M/H],-0.185,4.47,4.680,2.33960,,,,19h31m29.61s,292.8733696,+42d57m58.17s,42.9661583,904.3260000,15.1377000
Kepler-82 e,Kepler-82,1,5,Transit,2014,Kepler CCD Array,5.90220600,0.063000,2.470,0.220,6.66000,0.02100,M-R relationship,2.430000,0.000000,144.34,926,89.230,2454969.784430,1,0.0000,0.070230,2.8270000,15.260000,0.02521,,,,,,,,5428.00,0.95,0.96,0.211,[M/H],-0.185,4.47,4.680,2.27335,,,,19h31m29.61s,292.8733696,+42d57m58.17s,42.9661583,904.3260000,15.1377000
Kepler-82 f,Kepler-82,1,5,Transit Timing Variations,2019,Multiple Instruments,75.73200000,0.339500,4.840,0.432,20.90000,0.06576,Mass,1.010000,0.001400,,,86.300,,0,,,,,,,,62.0000,,,,,5529.00,0.90,0.91,0.211,[M/H],-0.225,4.49,4.680,1.77000,,,,19h31m29.61s,292.8733696,+42d57m58.17s,42.9661583,904.3260000,15.1377000
Kepler-1488 b,Kepler-1488,1,2,Transit,2016,Kepler CCD Array,39.81899320,0.228500,1.860,0.166,4.12000,0.01300,M-R relationship,3.520000,0.000000,73.34,650,88.510,2454999.646730,0,0.0066,0.019620,10.7980000,28.538000,0.01282,,,,,,,,5820.00,1.31,1.05,0.060,[Fe/H],0.587,4.22,6.920,0.18795,,,,19h06m35.14s,286.6464265,+49d56m15.98s,49.9377735,905.8250000,13.0767000
Kepler-1488 c,Kepler-1488,1,2,Transit,2021,Kepler CCD Array,6.15826988,0.065800,1.652,0.147,3.37000,0.01060,M-R relationship,4.110000,0.000000,510.35,1212,84.390,2454968.499900,0,0.3217,0.005730,6.2850000,7.170000,0.00699,,,,,,,,5710.00,1.52,1.00,0.000,[Fe/H],0.587,4.07,6.920,0.11245,,,,19h06m35.14s,286.6464265,+49d56m15.98s,49.9377735,905.8250000,13.0767000
Kepler-56 b,Kepler-56,1,3,Transit,2012,Kepler CCD Array,10.50160000,0.102800,6.510,0.581,22.10000,0.07000,Mass,0.442000,0.040000,819.25,1378,89.660,2454978.255600,1,0.7410,0.018340,14.5220000,5.617000,0.01192,,,-11.0000,,,,,4840.00,4.23,1.32,0.200,[Fe/H],0.905,3.31,3.500,0.02460,,,-54.30,19h35m01.99s,293.7583002,+41d52m18.51s,41.8718070,912.9940000,12.4298000
Kepler-56 c,Kepler-56,1,3,Transit,2012,Kepler CCD Array,21.40239000,0.165200,9.800,0.874,181.00000,0.57000,Mass,1.060000,0.000000,317.21,1087,80.400,2454978.656000,1,0.9430,0.040930,11.7210000,5.660000,0.02292,,,-97.4000,,,,,4840.00,4.23,1.32,0.200,[Fe/H],0.905,3.31,3.500,0.02460,,,-54.30,19h35m01.99s,293.7583002,+41d52m18.51s,41.8718070,912.9940000,12.4298000
Kepler-56 d,Kepler-56,1,3,Radial Velocity,2016,Multiple Instruments,1002.00000000,2.160000,12.800,1.140,1784.00000,5.61000,Msini,4.670000,0.200000,,,,,0,,,,,,,,-15.0000,95.210,,,,4819.44,4.22,1.29,0.363,[M/H],0.905,3.31,4.370,0.02460,,,-54.30,19h35m01.99s,293.7583002,+41d52m18.51s,41.8718070,912.9940000,12.4298000
Kepler-30 b,Kepler-30,1,3,Transit,2012,Kepler CCD Array,29.33434000,0.180000,3.900,0.348,11.30000,0.03600,Mass,1.020000,0.042000,16.38,524,90.179,2455246.647600,1,0.3800,0.165000,4.8000000,37.700000,0.03510,,,-31.0000,,-1.00,,,5498.00,0.95,0.99,0.180,[Fe/H],-0.237,4.77,2.000,2.00000,1.9400,,,19h01m08.08s,285.2836483,+38d56m50.15s,38.9472625,914.2210000,15.3761000
Kepler-30 c,Kepler-30,1,3,Transit,2012,Kepler CCD Array,60.32310500,0.300000,12.300,1.097,640.00000,2.01000,Mass,1.880000,0.011100,6.22,411,90.323,2455357.887042,1,0.4000,1.620000,5.7408000,61.300000,0.13601,,,-49.0000,,,,,5498.00,0.95,0.99,0.180,[Fe/H],-0.237,4.77,2.000,2.00000,1.9400,,,19h01m08.08s,285.2836483,+38d56m50.15s,38.9472625,914.2210000,15.3761000
Kepler-30 d,Kepler-30,1,3,Transit,2012,Kepler CCD Array,143.34394000,0.500000,8.800,0.785,23.10000,0.07300,Mass,0.190000,0.022000,1.96,308,89.841,2455273.530200,1,0.3800,0.830000,7.7280000,109.100000,0.09130,,,-163.0000,,,,,5498.00,0.95,0.99,0.180,[Fe/H],-0.237,4.77,2.000,2.00000,1.9400,,,19h01m08.08s,285.2836483,+38d56m50.15s,38.9472625,914.2210000,15.3761000
Kepler-154 b,Kepler-154,1,5,Transit,2014,Kepler CCD Array,33.04053200,0.198000,2.260,0.202,5.73000,0.01800,M-R relationship,2.730000,0.000000,28.11,561,89.650,2454994.220870,0,0.3700,0.057740,3.3550000,75.740000,0.02228,,,,,,,,5690.00,1.00,0.98,-0.040,[Fe/H],0.033,4.42,4.470,5.84640,,,,19h19m07.33s,289.7805393,+49d53m47.62s,49.8965624,915.2120000,14.5121000
Kepler-154 c,Kepler-154,1,5,Transit,2014,Kepler CCD Array,62.30327600,0.303000,2.950,0.263,9.01000,0.02830,M-R relationship,1.930000,0.000000,12.07,454,89.130,2455012.094230,0,0.7000,0.085930,7.5100000,47.100000,0.02872,,,,,,,,5690.00,1.00,0.98,-0.040,[Fe/H],0.033,4.42,4.470,0.50914,,,,19h19m07.33s,289.7805393,+49d53m47.62s,49.8965624,915.2120000,14.5121000
Kepler-154 d,Kepler-154,1,5,Transit,2016,Kepler CCD Array,20.54981883,0.141500,3.840,0.343,14.10000,0.04440,M-R relationship,1.370000,0.000000,53.00,657,88.380,2455011.946120,0,0.4700,0.156430,5.4586000,29.250000,0.03618,,,,,,,,5769.00,0.98,0.98,-0.040,[Fe/H],0.033,4.45,4.470,1.12051,,,,19h19m07.33s,289.7805393,+49d53m47.62s,49.8965624,915.2120000,14.5121000
Kepler-154 e,Kepler-154,1,5,Transit,2016,Kepler CCD Array,3.93276465,0.047000,1.500,0.134,2.86000,0.00899,M-R relationship,4.660000,0.000000,480.40,1140,87.810,2454967.651230,0,0.3347,0.023490,2.9166000,9.880000,0.01425,,,,,,,,5769.00,0.98,0.98,-0.040,[Fe/H],0.033,4.45,4.470,1.18089,,,,19h19m07.33s,289.7805393,+49d53m47.62s,49.8965624,915.2120000,14.5121000
Kepler-154 f,Kepler-154,1,5,Transit,2016,Kepler CCD Array,9.91935684,0.087100,1.500,0.134,2.86000,0.00899,M-R relationship,4.660000,0.000000,139.88,838,89.470,2454969.876560,0,0.1630,0.018670,4.2400000,17.510000,0.01389,,,,,,,,5769.00,0.98,0.98,-0.040,[Fe/H],0.033,4.45,4.470,1.03249,,,,19h19m07.33s,289.7805393,+49d53m47.62s,49.8965624,915.2120000,14.5121000
Kepler-430 b,Kepler-430,1,2,Transit,2015,Kepler CCD Array,35.96800000,0.224400,3.250,0.290,10.60000,0.03340,M-R relationship,1.700000,0.000000,40.84,667,88.970,2454971.668850,0,0.9540,0.026970,2.8390000,102.460000,0.02003,,,,,,,,5884.00,1.49,1.17,0.200,[Fe/H],0.312,4.15,2.840,15.72666,,,,19h31m14.06s,292.8085984,+49d34m45.93s,49.5794242,917.4770000,13.8135000
Kepler-430 c,Kepler-430,1,2,Transit,2015,Kepler CCD Array,110.97900000,0.475700,1.750,0.160,3.71000,0.01170,M-R relationship,3.800000,0.000000,9.10,458,89.940,2454979.983540,0,0.2964,0.015020,12.3880000,66.100000,0.01080,,,,,,,,5884.00,1.49,1.17,0.200,[Fe/H],0.312,4.15,5.130,0.44462,,,,19h31m14.06s,292.8085984,+49d34m45.93s,49.5794242,917.4770000,13.8135000
Kepler-376 b,Kepler-376,1,2,Transit,2014,Kepler CCD Array,4.92019900,0.057000,1.070,0.095,1.24000,0.00390,M-R relationship,5.560000,0.000000,689.91,1242,88.480,2454968.407940,0,0.3400,0.008100,3.9150000,9.110000,0.00824,,,,,,,,5900.00,1.18,1.06,-0.104,[M/H],0.357,4.30,1.910,0.59154,,,,19h26m25.71s,291.6071451,+38d24m37.15s,38.4103192,923.0670000,13.7340000
Kepler-376 c,Kepler-376,1,2,Transit,2014,Kepler CCD Array,14.17232700,0.115000,1.790,0.160,3.86000,0.01210,M-R relationship,3.700000,0.000000,168.29,873,87.710,2454975.597950,0,0.1900,0.024680,2.6100000,43.410000,0.01472,,,,,,,,5900.00,1.18,1.06,-0.104,[M/H],0.357,4.30,1.910,7.70665,,,,19h26m25.71s,291.6071451,+38d24m37.15s,38.4103192,923.0670000,13.7340000
Kepler-251 b,Kepler-251,1,4,Transit,2014,Kepler CCD Array,4.79093600,0.053000,1.330,0.119,2.33000,0.00733,M-R relationship,5.440000,0.000000,203.17,990,89.550,2454969.311480,0,0.2500,0.025130,2.7050000,13.700000,0.01539,,,,,,,,5526.00,0.89,0.95,-0.020,[Fe/H],-0.172,4.49,3.630,2.12141,,,,19h46m15.89s,296.5662171,+44d06m20.91s,44.1058077,924.6250000,15.2160000
Kepler-251 c,Kepler-251,1,4,Transit,2014,Kepler CCD Array,16.51404300,0.122000,2.770,0.247,8.10000,0.02550,M-R relationship,2.090000,0.000000,38.95,655,89.220,2455009.116320,0,0.2000,0.097350,4.1080000,31.380000,0.02872,,,,,,,,5526.00,0.89,0.95,-0.020,[Fe/H],-0.172,4.49,3.630,1.66311,,,,19h46m15.89s,296.5662171,+44d06m20.91s,44.1058077,924.6250000,15.2160000
Kepler-251 d,Kepler-251,1,4,Transit,2014,Kepler CCD Array,30.13300100,0.182000,2.770,0.247,8.10000,0.02550,M-R relationship,2.090000,0.000000,17.48,536,88.210,2455023.383220,0,0.3000,0.101580,4.9190000,28.500000,0.03210,,,,,,,,5526.00,0.89,0.95,-0.020,[Fe/H],-0.172,4.49,3.630,0.40310,,,,19h46m15.89s,296.5662171,+44d06m20.91s,44.1058077,924.6250000,15.2160000
Kepler-251 e,Kepler-251,1,4,Transit,2014,Kepler CCD Array,99.64016100,0.404000,2.770,0.247,8.10000,0.02550,M-R relationship,2.090000,0.000000,3.55,360,89.990,2455031.693120,0,0.2300,0.095250,4.3600000,175.840000,0.02788,,,,,,,,5526.00,0.89,0.95,-0.020,[Fe/H],-0.172,4.49,3.630,10.35916,,,,19h46m15.89s,296.5662171,+44d06m20.91s,44.1058077,924.6250000,15.2160000
Kepler-343 b,Kepler-343,1,2,Transit,2014,Kepler CCD Array,8.96855000,0.088000,2.410,0.215,6.39000,0.02010,M-R relationship,2.510000,0.000000,206.07,1024,87.580,2454972.389910,0,0.7300,0.023430,4.3260000,13.190000,0.01426,,,,,,,,5807.00,1.43,1.08,0.145,[M/H],0.216,4.18,2.900,0.29453,,,,19h27m50.56s,291.9606620,+42d25m58.64s,42.4329567,927.1930000,14.1102000
Kepler-343 c,Kepler-343,1,2,Transit,2014,Kepler CCD Array,23.22182000,0.167000,2.020,0.180,4.74000,0.01490,M-R relationship,3.160000,0.000000,57.93,746,88.180,2454984.066400,0,0.0000,0.021040,2.7080000,71.610000,0.01339,,,,,,,,5807.00,1.43,1.08,0.145,[M/H],0.216,4.18,6.030,12.88107,,,,19h27m50.56s,291.9606620,+42d25m58.64s,42.4329567,927.1930000,14.1102000
